"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 21 15:44:56 IST 2022","Sat May 21 15:44:56 IST 2022","41","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Given I am on the home page","Given I am on the home page",""
"skipped","Fri Jun 10 12:28:04 IST 2022","Fri Jun 10 12:28:04 IST 2022","6","","Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Sun May 29 21:35:39 IST 2022","Sun May 29 21:35:39 IST 2022","3","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","",""
"passed","Sun May 29 23:06:36 IST 2022","Sun May 29 23:06:39 IST 2022","3121","","Register , Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","Register , Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Tue Jun 07 16:13:08 IST 2022","Tue Jun 07 16:13:18 IST 2022","9874","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","When I set the value for All mandantory fields","When I set the value for All mandantory fields",""
"failed","Mon May 30 12:19:00 IST 2022","Mon May 30 12:19:19 IST 2022","19114","","Register , Registration functionlity for Answerforce UK: Register in AnsewerForce UK with valid data","","Register , Registration functionlity for Answerforce UK: Register in AnsewerForce UK with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 30 01:22:26 IST 2022","Mon May 30 01:22:26 IST 2022","24","","Register , Registration functionlity for LexReception: Register in LexReception with valid data","","Register , Registration functionlity for LexReception: Register in LexReception with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Fri Jun 10 14:34:58 IST 2022","Fri Jun 10 14:35:15 IST 2022","16656","","Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","","Registration functionlity for AnswerConnect CA: Register in AnsewerConnect CA with valid data","Given I am on the home page and I Navigate to the Register page","Given I am on the home page and I Navigate to the Register page",""
"passed","Mon May 30 11:29:23 IST 2022","Mon May 30 11:29:36 IST 2022","12849","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Sun May 29 21:35:14 IST 2022","Sun May 29 21:35:17 IST 2022","2915","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Fri May 27 18:08:01 IST 2022","Fri May 27 18:08:01 IST 2022","19","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Tue Jun 07 16:13:08 IST 2022","Tue Jun 07 16:13:08 IST 2022","17","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","Given I am on the home page and I Navigate to the Register page","Given I am on the home page and I Navigate to the Register page",""
"broken","Tue Jun 07 14:55:56 IST 2022","Tue Jun 07 14:55:59 IST 2022","3554","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Mon May 30 11:32:16 IST 2022","Mon May 30 11:32:16 IST 2022","2","","Register , Registration functionlity for Answerforce CA: Register in AnsewerForce CA with valid data","","Register , Registration functionlity for Answerforce CA: Register in AnsewerForce CA with valid data","","",""
"passed","Sat May 21 15:45:03 IST 2022","Sat May 21 15:45:05 IST 2022","2882","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Then set the value of All mandantory fields","Then set the value of All mandantory fields",""
"passed","Wed May 25 19:24:06 IST 2022","Wed May 25 19:24:06 IST 2022","2","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","",""
"failed","Mon May 30 01:35:14 IST 2022","Mon May 30 01:35:28 IST 2022","13849","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 30 12:18:51 IST 2022","Mon May 30 12:18:58 IST 2022","7145","","Register , Registration functionlity for Answerforce UK: Register in AnsewerForce UK with valid data","","Register , Registration functionlity for Answerforce UK: Register in AnsewerForce UK with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Wed May 25 14:20:54 IST 2022","Wed May 25 14:20:54 IST 2022","2","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","",""
"passed","Sat May 21 15:45:14 IST 2022","Sat May 21 15:45:14 IST 2022","4","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","",""
"skipped","Wed May 25 14:20:54 IST 2022","Wed May 25 14:20:54 IST 2022","1","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 30 11:29:16 IST 2022","Mon May 30 11:29:16 IST 2022","15","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Fri Jun 10 12:28:04 IST 2022","Fri Jun 10 12:28:04 IST 2022","2","","Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","",""
"passed","Fri May 27 18:08:21 IST 2022","Fri May 27 18:08:21 IST 2022","3","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","",""
"passed","Wed May 25 13:13:10 IST 2022","Wed May 25 13:13:10 IST 2022","5","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Then click the see prices Button and verify the given details","Then click the see prices Button and verify the given details",""
"passed","Mon May 30 11:31:59 IST 2022","Mon May 30 11:32:16 IST 2022","17170","","Register , Registration functionlity for Answerforce CA: Register in AnsewerForce CA with valid data","","Register , Registration functionlity for Answerforce CA: Register in AnsewerForce CA with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Sun May 29 23:06:39 IST 2022","Sun May 29 23:06:55 IST 2022","15869","","Register , Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","","Register , Registration functionlity for AnswerConnect US: Register in AnsewerConnect US with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 30 00:47:06 IST 2022","Mon May 30 00:47:09 IST 2022","2636","","Register , Registration functionlity for HelloSells: Register in Hellosells with valid data","","Register , Registration functionlity for HelloSells: Register in Hellosells with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Mon May 30 12:19:19 IST 2022","Mon May 30 12:19:19 IST 2022","3","","Register , Registration functionlity for Answerforce UK: Register in AnsewerForce UK with valid data","","Register , Registration functionlity for Answerforce UK: Register in AnsewerForce UK with valid data","","",""
"passed","Mon May 30 01:35:07 IST 2022","Mon May 30 01:35:13 IST 2022","5441","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Mon May 30 11:34:03 IST 2022","Mon May 30 11:34:07 IST 2022","4276","","Register , Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect UK: Register in AnsewerConnect with valid data","Given I am on the home page","Given I am on the home page",""
"passed","Mon May 30 01:22:55 IST 2022","Mon May 30 01:22:56 IST 2022","5","","Register , Registration functionlity for LexReception: Register in LexReception with valid data","","Register , Registration functionlity for LexReception: Register in LexReception with valid data","","",""
"broken","Sat May 21 15:45:05 IST 2022","Sat May 21 15:45:14 IST 2022","8209","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","Then click the see prices Button","Then click the see prices Button",""
"passed","Mon May 30 11:29:16 IST 2022","Mon May 30 11:29:23 IST 2022","6671","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","When I Navigate to the Register page and set the value for All mandantory fields","When I Navigate to the Register page and set the value for All mandantory fields",""
"passed","Sun May 29 21:35:17 IST 2022","Sun May 29 21:35:39 IST 2022","21599","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Tue Jun 07 16:13:52 IST 2022","Tue Jun 07 16:13:52 IST 2022","2","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","",""
"passed","Mon May 23 12:50:46 IST 2022","Mon May 23 12:50:48 IST 2022","2051","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When set the value of All mandantory fields","When set the value of All mandantory fields",""
"passed","Mon May 30 01:35:28 IST 2022","Mon May 30 01:35:28 IST 2022","1","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","","Register , Registration functionlity for WellRececived: Register in WellReceived with valid data","","",""
"passed","Sun May 29 21:35:11 IST 2022","Sun May 29 21:35:14 IST 2022","2998","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","","Register , Registration functionlity for AnswerConnect: Register in AnsewerConnect with valid data","Given I am on the home page","Given I am on the home page",""
"skipped","Tue Jun 07 14:55:59 IST 2022","Tue Jun 07 14:55:59 IST 2022","1","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce US: Register in AnsewerForce with valid data","Then I click the choose plan Button and verify the given details","Then I click the choose plan Button and verify the given details",""
"passed","Mon May 23 18:57:18 IST 2022","Mon May 23 18:57:26 IST 2022","7241","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","","Register , Registration functionlity for Answerforce: Register in AnsewerForce with valid data","When Navigate to the Register page","When Navigate to the Register page",""
